,0
アスカクリチャン,10.2
Take Charge Indy,38.0
ギンザグリングラス,12.4
エアジハード,9.4
ヴィクトリー,9.4
エイシンサンディ,18.4
カフェラピード,17.9
Cape Cross,17.9
Run Away and Hide,35.4
Oasis Dream,11.5
Majesticperfection,34.6
Pour Moi,17.5
Tiznow,34.2
オウケンマジック,11.5
トウカイワイルド,34.2
ブラックホーク,11.1
No Nay Never,33.7
Mayson,16.7
Congrats,10.7
Emcee,32.4
ロッコウオロシ,10.7
ビッグサンデー,31.6
Maclean's Music,30.7
Awesome Again,29.9
Overdriven,28.6
Tavistock,14.1
Proud Citizen,27.8
アフリート,9.0
Hansen,13.7
Street Cry,13.7
Lope de Vega,26.9
Liam's Map,26.5
Dawn Approach,6.8
シェイクザバーレイ,12.8
Two Step Salsa,26.0
Worthadd,25.6
Race Day,25.6
イーグルカフェ,8.1
Data Link,23.5
Carpe Diem,12.0
ゼンノドラゴン,11.5
Lookin At Lucky,23.1
Royal Applause,23.1
リバースモード,11.1
Zoustar,22.2
バロズハート,22.2
コマンズ,5.6
Teofilo,21.8
Smart Missile,21.3
Dark Angel,21.3
Paddy O'Prado,10.7
スターキングマン,20.9
ウイングアロー,6.8
Graydar,20.5
Lord of England,20.5
Midnight Lute,20.5
Uncaptured,20.5
Slade Power,19.6
ワンダースピード,18.8
Casamento,18.4
Jimmy Choux,18.4
ヘクタープロテクター,18.4
ネヴァブション,6.0
スマイルジャック,17.9
キタサンカムイデン,17.9
Unbridled's Song,8.5
ダイタクリーヴァ,4.3
ネイティヴハート,8.5
War Command,16.7
ソウルシルバー,16.7
トーホウジャッカル,16.7
ヴェリーハード,4.3
ジークエンブレム,15.8
ニューイングランド,3.8
High Chaparral,15.4
アメリカンボス,2.6
Raven's Pass,7.3
タガノロックオン,14.5
Galileo,7.3
Exceed And Excel,14.5
フサイチコンコルド,7.3
ザール,14.1
カーム,13.2
English Channel,12.8
Lemon Drop Kid,12.8
Super Saver,6.4
Tonalist,12.8
ゴールドプルーフ,12.8
キャプテンスティーヴ,12.4
ダイシングロウ,11.5
ナイキアディライト,3.8
スリリングサンデー,6.0
Invincible Spirit,11.5
アポインテッドデイ,11.5
ファーガソン,11.5
Muhaarar,5.6
トーセンダンス,11.5
Liaison,11.1
Le Havre,11.1
サクラメガワンダー,10.7
アルカセット,5.1
Strong Mandate,5.1
Algorithms,9.0
Tiz Wonderful,9.0
Excelebration,8.5
バイオマスター,8.1
サクラオールイン,8.1
Tale of the Cat,7.7
Australia,7.3
Siyouni,3.4
ボーンキング,6.8
Olympic Glory,6.4
ジョウテンブレーヴ,6.0
Ultimate Eagle,5.6
Candy Ride,5.6
ジョリーズヘイロー,4.7
ミキノバンジョー,4.7
City Zip,3.8
スニッツェル,2.1
イシノナイト,3.8
Ghostzapper,3.8
Palace,3.8
オペラハウス,1.7
Temple City,1.7
Adlerflug,3.0
ゼンノエルシド,3.0
ダンシングカラー,3.0
チアズブライトリー,3.0
Exaggerator,3.0
メイショウオウドウ,3.0
Munnings,2.6
テラザクラウド,2.6
Bellamy Road,1.3
Successful Appeal,2.1
New Approach,2.1
Pulpit,2.1
Intikhab,1.7
レギュラーメンバー,0.4
ゴーカイ,0.9
トウカイテイオー,0.9
バランスオブゲーム,0.9
ミツアキタービン,0.9
Mizzen Mast,0.9
スリーロールス,0.4
ヒデサンジュニア,0.4
ダージー,0.4
Jeranimo,0.4
ダンツシアトル,0.0
Bernstein,0.0
Broken Vow,0.0
Cairo Prince,0.0
Darci Brahma,0.0
Dutch Art,0.0
He's Had Enough,0.0
Lucky Pulpit,0.0
Mineshaft,0.0
More Than Ready,0.0
Shamardal,0.0
オールステイ,0.0
コマンダーインチーフ,0.0
ダイシンオレンジ,0.0
デリケートワン,0.0
トーホウエンペラー,0.0
ネーミングライツ,0.0
プレシャスカフェ,0.0
ミスキャスト,0.0
ローマンエンパイア,0.0
